MSA,demoname,reclat,reclong,Population,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>",name
"Burlington South Burlington, VT","Burlington South Burlington, VT",44.47588,-73.2121,216751,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Burlington South Burlington, VT<br><a href=""http://45.35.64.128:8000/details.html?city=Burlington South Burlington, VT"">Link to Page...</a>"
"Canton Massillon, OH","Canton Massillon, OH",40.79895,-81.3784,402098,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Canton Massillon, OH<br><a href=""http://45.35.64.128:8000/details.html?city=Canton Massillon, OH"">Link to Page...</a>"
"Cape Coral Fort Myers, FL","Cape Coral Fort Myers, FL",26.56285,-81.9495,700165,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Cape Coral Fort Myers, FL<br><a href=""http://45.35.64.128:8000/details.html?city=Cape Coral Fort Myers, FL"">Link to Page...</a>"
"Cape Girardeau, MO IL","Cape Girardeau, MO IL",37.30588,-89.5181,97136,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Cape Girardeau, MO IL<br><a href=""http://45.35.64.128:8000/details.html?city=Cape Girardeau, MO IL"">Link to Page...</a>"
"Carson City, NV","Carson City, NV",39.1638,-119.767,54219,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Carson City, NV<br><a href=""http://45.35.64.128:8000/details.html?city=Carson City, NV"">Link to Page...</a>"
"Casper, WY","Casper, WY",42.86663,-106.313,81023,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Casper, WY<br><a href=""http://45.35.64.128:8000/details.html?city=Casper, WY"">Link to Page...</a>"
"Cedar Rapids, IA","Cedar Rapids, IA",41.97788,-91.6656,266122,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Cedar Rapids, IA<br><a href=""http://45.35.64.128:8000/details.html?city=Cedar Rapids, IA"">Link to Page...</a>"
"Champaign Urbana, IL","Champaign Urbana, IL",40.11642,-88.2434,237849,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Champaign Urbana, IL<br><a href=""http://45.35.64.128:8000/details.html?city=Champaign Urbana, IL"">Link to Page...</a>"
"Charleston, WV","Charleston, WV",38.34982,-81.6326,219964,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Charleston, WV<br><a href=""http://45.35.64.128:8000/details.html?city=Charleston, WV"">Link to Page...</a>"
"Charleston North Charleston, SC","Charleston North Charleston, SC",32.77647,-79.9311,744195,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Charleston North Charleston, SC<br><a href=""http://45.35.64.128:8000/details.html?city=Charleston North Charleston, SC"">Link to Page...</a>"
"Charlotte Concord Gastonia, NC SC","Charlotte Concord Gastonia, NC SC",35.22709,-80.8431,2427024,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Charlotte Concord Gastonia, NC SC<br><a href=""http://45.35.64.128:8000/details.html?city=Charlotte Concord Gastonia, NC SC"">Link to Page...</a>"
"Charlottesville, VA","Charlottesville, VA",38.02931,-78.4767,228825,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Charlottesville, VA<br><a href=""http://45.35.64.128:8000/details.html?city=Charlottesville, VA"">Link to Page...</a>"
"Chattanooga, TN GA","Chattanooga, TN GA",35.04563,-85.3097,548359,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Chattanooga, TN GA<br><a href=""http://45.35.64.128:8000/details.html?city=Chattanooga, TN GA"">Link to Page...</a>"
"Cheyenne, WY","Cheyenne, WY",41.13998,-104.82,97031,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Cheyenne, WY<br><a href=""http://45.35.64.128:8000/details.html?city=Cheyenne, WY"">Link to Page...</a>"
